,Date,Deaths
46,2020-03-08,2
47,2020-03-09,2
48,2020-03-10,2
49,2020-03-11,2
50,2020-03-12,2
51,2020-03-13,2
52,2020-03-14,2
53,2020-03-15,3
54,2020-03-16,3
55,2020-03-17,5
56,2020-03-18,7
57,2020-03-19,9
58,2020-03-20,11
59,2020-03-21,13
60,2020-03-22,13
61,2020-03-23,18
62,2020-03-24,18
63,2020-03-25,23
64,2020-03-26,29
65,2020-03-27,35
66,2020-03-28,54
67,2020-03-29,56
68,2020-03-30,63
69,2020-03-31,85
70,2020-04-01,87
71,2020-04-02,164
72,2020-04-03,170
73,2020-04-04,195
74,2020-04-05,221
75,2020-04-06,236
76,2020-04-07,283
77,2020-04-08,309
78,2020-04-09,354
79,2020-04-10,390
80,2020-04-11,438
81,2020-04-12,461
82,2020-04-13,499
83,2020-04-14,571
84,2020-04-15,596
85,2020-04-16,668
86,2020-04-17,725
87,2020-04-18,748
88,2020-04-19,774
89,2020-04-20,822
90,2020-04-21,867
91,2020-04-22,893
92,2020-04-23,987
93,2020-04-24,1046
94,2020-04-25,1055
95,2020-04-26,1075
96,2020-04-27,1088
97,2020-04-28,1171
98,2020-04-29,1218
99,2020-04-30,1268
100,2020-05-01,1314
101,2020-05-02,1364
102,2020-05-03,1379
103,2020-05-04,1399
104,2020-05-05,1471
105,2020-05-06,1539
106,2020-05-07,1600
107,2020-05-08,1669
108,2020-05-09,1715
109,2020-05-10,1721
110,2020-05-11,1735
111,2020-05-12,1779
112,2020-05-13,1827
113,2020-05-14,1875
114,2020-05-15,1917
115,2020-05-16,1964
116,2020-05-17,1973
117,2020-05-18,1997
118,2020-05-19,2052
119,2020-05-20,2096
120,2020-05-21,2144
121,2020-05-22,2190
122,2020-05-23,2233
123,2020-05-24,2237
124,2020-05-25,2252
125,2020-05-26,2259
126,2020-05-27,2319
127,2020-05-28,2364
128,2020-05-29,2413
129,2020-05-30,2447
130,2020-05-31,2451
131,2020-06-01,2460
132,2020-06-02,2530
133,2020-06-03,2566
134,2020-06-04,2607
135,2020-06-05,2660
136,2020-06-06,2688
137,2020-06-07,2700
138,2020-06-08,2712
139,2020-06-09,2765
140,2020-06-10,2801
141,2020-06-11,2848
142,2020-06-12,2877
143,2020-06-13,2925
144,2020-06-14,2931
145,2020-06-15,2938
146,2020-06-16,2993
147,2020-06-17,3018
148,2020-06-18,3061
149,2020-06-19,3104
150,2020-06-20,3144
151,2020-06-21,3161
152,2020-06-22,3173
153,2020-06-23,3238
154,2020-06-24,3281
155,2020-06-25,3327
156,2020-06-26,3366
157,2020-06-27,3390
158,2020-06-28,3419
159,2020-06-29,3447
160,2020-06-30,3505
161,2020-07-01,3550
162,2020-07-02,3617
163,2020-07-03,3684
164,2020-07-04,3702
165,2020-07-05,3731
166,2020-07-06,3778
167,2020-07-07,3841
168,2020-07-08,3889
169,2020-07-09,4009
170,2020-07-10,4102
171,2020-07-11,4197
172,2020-07-12,4242
173,2020-07-13,4277
174,2020-07-14,4409
175,2020-07-15,4521
176,2020-07-16,4677
177,2020-07-17,4805
178,2020-07-18,4895
179,2020-07-19,4982
180,2020-07-20,5072
181,2020-07-21,5206
182,2020-07-22,5345
183,2020-07-23,5518
184,2020-07-24,5653
185,2020-07-25,5777
186,2020-07-26,5854
187,2020-07-27,5931
188,2020-07-28,6117
189,2020-07-29,6333
190,2020-07-30,6586
191,2020-07-31,6843
192,2020-08-01,7022
193,2020-08-02,7084
194,2020-08-03,7157
195,2020-08-04,7402
196,2020-08-05,7627
197,2020-08-06,7747
198,2020-08-07,7927
199,2020-08-08,8109
200,2020-08-09,8186
201,2020-08-10,8277
202,2020-08-11,8553
203,2020-08-12,8765
204,2020-08-13,8913
205,2020-08-14,9141
206,2020-08-15,9345
207,2020-08-16,9452
208,2020-08-17,9539
209,2020-08-18,9758
210,2020-08-19,9932
211,2020-08-20,10049
212,2020-08-21,10168
213,2020-08-22,10274
214,2020-08-23,10325
215,2020-08-24,10397
216,2020-08-25,10580
217,2020-08-26,10733
218,2020-08-27,10868
219,2020-08-28,10957
220,2020-08-29,11105
221,2020-08-30,11119
222,2020-08-31,11187
223,2020-09-01,11374
224,2020-09-02,11501
225,2020-09-03,11650
226,2020-09-04,11750
227,2020-09-05,11811
228,2020-09-06,11849
229,2020-09-07,11871
230,2020-09-08,11915
231,2020-09-09,12110
232,2020-09-10,12326
233,2020-09-11,12502
234,2020-09-12,12600
235,2020-09-13,12608
236,2020-09-14,12642
237,2020-09-15,12787
238,2020-09-16,12939
239,2020-09-17,13086
240,2020-09-18,13225
241,2020-09-19,13287
242,2020-09-20,13296
243,2020-09-21,13317
244,2020-09-22,13416
245,2020-09-23,13618
246,2020-09-24,13795
247,2020-09-25,13915
248,2020-09-26,14022
249,2020-09-27,14032
250,2020-09-28,14037
251,2020-09-29,14143
252,2020-09-30,14317
253,2020-10-01,14444
254,2020-10-02,14554
255,2020-10-03,14628
256,2020-10-04,14671
257,2020-10-05,14712
258,2020-10-06,14767
259,2020-10-07,14904
260,2020-10-08,15068
261,2020-10-09,15186
262,2020-10-10,15186
263,2020-10-11,15364
264,2020-10-12,15412
265,2020-10-13,15531
266,2020-10-14,15595
267,2020-10-15,15736
268,2020-10-16,15830
269,2020-10-17,15917
270,2020-10-18,15967
271,2020-10-19,16021
272,2020-10-20,16105
273,2020-10-21,16210
274,2020-10-22,16267
275,2020-10-23,16340
276,2020-10-24,16417
277,2020-10-25,16429
278,2020-10-26,16449
279,2020-10-27,16505
280,2020-10-28,16571
281,2020-10-29,16648
282,2020-10-30,16720
283,2020-10-31,16761
284,2020-11-01,16789
285,2020-11-02,16834
286,2020-11-03,16890
287,2020-11-04,16922
288,2020-11-05,16961
289,2020-11-06,17014
290,2020-11-07,17100
291,2020-11-08,17121
292,2020-11-09,17179
293,2020-11-10,17248
294,2020-11-11,17300
295,2020-11-12,17372
296,2020-11-13,17445
297,2020-11-14,17489
298,2020-11-15,17518
299,2020-11-16,17559
300,2020-11-17,17644
301,2020-11-18,17731
302,2020-11-19,17810
303,2020-11-20,17889
304,2020-11-21,17930
305,2020-11-22,17991
306,2020-11-23,18085
307,2020-11-24,18157
308,2020-11-25,18254
309,2020-11-26,18254
310,2020-11-27,18363
311,2020-11-28,18442
312,2020-11-29,18500
313,2020-11-30,18597
314,2020-12-01,18679
315,2020-12-02,18776
316,2020-12-03,18874
317,2020-12-04,18994
318,2020-12-05,19084
319,2020-12-06,19177
320,2020-12-07,19282
321,2020-12-08,19378
322,2020-12-09,19462
323,2020-12-10,19591
324,2020-12-11,19714
325,2020-12-12,19785
326,2020-12-13,19866
327,2020-12-14,20003
328,2020-12-15,20082
329,2020-12-16,20204
330,2020-12-17,20305
331,2020-12-18,20401
332,2020-12-19,20473
333,2020-12-20,20568
334,2020-12-21,20680
335,2020-12-22,20754
336,2020-12-23,20874
337,2020-12-24,20995
338,2020-12-25,20995
339,2020-12-26,21135
340,2020-12-27,21212
341,2020-12-28,21308
342,2020-12-29,21409
343,2020-12-30,21546
344,2020-12-31,21673
345,2021-01-01,21673
