,Date,Deaths
59,2020-03-21,1
60,2020-03-22,2
61,2020-03-23,2
62,2020-03-24,5
63,2020-03-25,6
64,2020-03-26,8
65,2020-03-27,13
66,2020-03-28,15
67,2020-03-29,17
68,2020-03-30,20
69,2020-03-31,25
70,2020-04-01,32
71,2020-04-02,35
72,2020-04-03,44
73,2020-04-04,52
74,2020-04-05,64
75,2020-04-06,65
76,2020-04-07,73
77,2020-04-08,89
78,2020-04-09,98
79,2020-04-10,106
80,2020-04-11,117
81,2020-04-12,125
82,2020-04-13,132
83,2020-04-14,143
84,2020-04-15,155
85,2020-04-16,164
86,2020-04-17,183
87,2020-04-18,180
88,2020-04-19,184
89,2020-04-20,191
90,2020-04-21,208
91,2020-04-22,231
92,2020-04-23,249
93,2020-04-24,266
94,2020-04-25,273
95,2020-04-26,275
96,2020-04-27,275
97,2020-04-28,275
98,2020-04-29,308
99,2020-04-30,320
100,2020-05-01,330
101,2020-05-02,330
102,2020-05-03,362
